batter,innings,total_runs,total_balls,avg_runs,fours,sixes,fifties,hundreds,strike_rate,runs_Death,runs_Middle,runs_Powerplay,strike_rate_Death,strike_rate_Middle,strike_rate_Powerplay,form_avg_last10,best_venue,best_venue_runs,best_venue_sr,pvs_batting,cluster,archetype
G Gambhir,151,4217,3394,27.93,492,59,36,0,124.25,270.0,1670.0,2277.0,145.95,123.98,122.29,17.2,Saurashtra Cricket Association Stadium,76.0,158.33,53.06,1.0,Finisher / Death Specialist
GC Smith,29,739,664,25.48,94,9,4,0,111.3,66.0,299.0,374.0,169.23,125.1,96.89,13.6,"MA Chidambaram Stadium, Chepauk",91.0,178.43,36.26,4.0,Utility Batter
GH Vihari,23,284,319,12.35,23,1,0,0,89.03,80.0,145.0,59.0,117.65,90.06,65.56,11.0,Wankhede Stadium,57.0,123.91,19.94,0.0,Powerplay Dominator
GJ Bailey,36,663,541,18.42,59,19,2,0,122.55,327.0,205.0,131.0,176.76,89.52,103.15,13.8,Wankhede Stadium,77.0,160.42,32.99,4.0,Utility Batter
GJ Maxwell,128,2772,1761,21.66,233,160,18,0,157.41,599.0,1740.0,433.0,182.07,154.94,140.13,6.3,Holkar Cricket Stadium,127.0,215.25,47.92,1.0,Finisher / Death Specialist
Gurkeerat Singh,32,511,422,15.97,55,11,2,0,121.09,251.0,225.0,35.0,154.94,100.9,94.59,23.8,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,57.0,167.65,33.47,4.0,Utility Batter
H Klaasen,32,993,584,31.03,56,64,7,1,170.03,403.0,528.0,62.0,193.75,156.21,163.16,29.3,"Eden Gardens, Kolkata",79.0,225.71,58.03,2.0,Anchor / Run Machine
HH Gibbs,36,886,805,24.61,83,31,6,0,110.06,72.0,367.0,447.0,160.0,106.69,107.45,26.1,Newlands,56.0,169.7,40.02,4.0,Utility Batter
HH Pandya,128,2534,1730,19.8,189,137,10,0,146.47,1290.0,1075.0,169.0,172.92,132.39,98.26,14.7,"Arun Jaitley Stadium, Delhi",67.0,197.06,45.64,1.0,Finisher / Death Specialist
HV Patel,37,249,203,6.73,16,15,0,0,122.66,183.0,66.0,0.0,142.97,88.0,0.0,4.3,Arun Jaitley Stadium,60.0,181.82,20.12,0.0,Powerplay Dominator
Harbhajan Singh,88,833,599,9.47,79,42,1,0,139.07,624.0,147.0,62.0,152.57,105.76,121.57,4.4,Wankhede Stadium,362.0,152.1,27.2,4.0,Utility Batter
Harpreet Brar,24,233,190,9.71,19,9,0,0,122.63,197.0,36.0,0.0,134.01,83.72,0.0,9.4,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",55.0,148.65,23.79,0.0,Powerplay Dominator
I Sharma,21,57,69,2.71,4,2,0,0,82.61,45.0,12.0,0.0,81.82,85.71,0.0,2.3,0,0.0,0.0,8.29,0.0,Powerplay Dominator
IK Pathan,82,1150,947,14.02,88,38,1,0,121.44,663.0,395.0,92.0,150.34,90.39,133.33,6.8,M Chinnaswamy Stadium,78.0,165.96,28.76,4.0,Utility Batter
Ishan Kishan,99,2644,1939,26.71,255,119,16,0,136.36,255.0,1138.0,1251.0,180.85,130.65,134.95,22.8,"Zayed Cricket Stadium, Abu Dhabi",98.0,222.73,51.79,1.0,Finisher / Death Specialist
J Botha,28,409,358,14.61,39,5,1,0,114.25,159.0,205.0,45.0,129.27,112.02,86.54,7.7,OUTsurance Oval,37.0,123.33,25.8,0.0,Powerplay Dominator
JA Morkel,67,975,683,14.55,61,55,3,0,142.75,637.0,320.0,18.0,157.67,120.3,138.46,15.7,Sawai Mansingh Stadium,65.0,151.16,35.83,4.0,Utility Batter
JC Archer,23,199,124,8.65,11,14,0,0,160.48,186.0,13.0,0.0,170.64,118.18,0.0,7.7,0,0.0,0.0,29.6,4.0,Utility Batter
JC Buttler,106,3583,2419,33.8,356,161,26,7,148.12,596.0,1374.0,1613.0,200.67,140.2,141.24,34.8,Eden Gardens,80.0,181.82,67.44,3.0,Explosive Hitter
JD Ryder,29,604,455,20.83,69,19,4,0,132.75,45.0,119.0,440.0,160.71,114.42,136.22,24.8,Dr DY Patil Sports Academy,146.0,169.77,40.08,4.0,Utility Batter
JD Unadkat,27,197,166,7.3,16,7,0,0,118.67,174.0,23.0,0.0,126.09,82.14,0.0,7.9,0,0.0,0.0,20.67,0.0,Powerplay Dominator
JH Kallis,95,2427,2213,25.55,255,44,17,0,109.67,394.0,997.0,1036.0,172.81,98.71,106.26,21.7,Sheikh Zayed Stadium,94.0,128.77,44.03,4.0,Utility Batter
JJ Bumrah,26,68,77,2.62,5,1,0,0,88.31,63.0,5.0,0.0,87.5,100.0,0.0,1.8,0,0.0,0.0,9.16,0.0,Powerplay Dominator
JJ Roy,21,614,441,29.24,75,21,4,0,139.23,41.0,193.0,380.0,178.26,148.46,131.94,36.3,"Eden Gardens, Kolkata",154.0,179.07,51.18,2.0,Anchor / Run Machine
JM Bairstow,50,1589,1096,31.78,166,69,11,2,144.98,75.0,650.0,864.0,136.36,142.54,147.69,28.9,"Eden Gardens, Kolkata",108.0,225.0,55.68,2.0,Anchor / Run Machine
JM Sharma,36,730,481,20.28,53,45,0,0,151.77,264.0,455.0,11.0,189.93,139.57,68.75,15.1,"Wankhede Stadium, Mumbai",82.0,256.25,40.69,4.0,Utility Batter
JO Holder,27,259,209,9.59,13,18,0,0,123.92,174.0,73.0,12.0,130.83,125.86,66.67,6.2,Sharjah Cricket Stadium,78.0,177.27,23.15,0.0,Powerplay Dominator
JP Duminy,75,2029,1631,27.05,126,79,14,0,124.4,882.0,912.0,235.0,170.93,104.11,98.33,22.7,Dubai International Cricket Stadium,72.0,175.61,47.54,1.0,Finisher / Death Specialist
JP Faulkner,45,527,385,11.71,36,23,0,0,136.88,439.0,74.0,14.0,157.35,86.05,70.0,12.4,"Sardar Patel Stadium, Motera",70.0,142.86,29.83,4.0,Utility Batter
K Gowtham,27,247,148,9.15,15,17,0,0,166.89,164.0,75.0,8.0,186.36,136.36,160.0,10.3,Sawai Mansingh Stadium,93.0,216.28,32.14,4.0,Utility Batter
K Rabada,28,206,192,7.36,16,8,0,0,107.29,152.0,53.0,1.0,119.69,85.48,33.33,3.1,Dubai International Cricket Stadium,34.0,113.33,17.12,0.0,Powerplay Dominator
KA Pollard,168,3437,2315,20.46,221,224,16,0,148.47,2032.0,1352.0,53.0,172.2,124.49,108.16,14.1,"Arun Jaitley Stadium, Delhi",103.0,245.24,50.18,1.0,Finisher / Death Specialist
KC Sangakkara,68,1687,1385,24.81,195,27,10,0,121.81,202.0,963.0,522.0,157.81,118.89,116.78,13.5,"Punjab Cricket Association Stadium, Mohali",408.0,158.14,40.71,4.0,Utility Batter
KD Karthik,233,4843,3570,20.79,466,161,22,0,135.66,1904.0,2542.0,397.0,174.52,122.57,98.02,24.0,"Dr DY Patil Sports Academy, Mumbai",93.0,221.43,54.08,1.0,Finisher / Death Specialist
KH Pandya,107,1647,1239,15.39,144,61,1,0,132.93,669.0,904.0,74.0,160.43,118.79,121.31,13.0,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,122.0,203.33,35.42,4.0,Utility Batter
KK Nair,68,1496,1169,22.0,161,39,10,0,127.97,275.0,717.0,504.0,177.42,118.71,122.93,9.8,Punjab Cricket Association IS Bindra Stadium,110.0,154.93,38.32,4.0,Utility Batter
KL Rahul,122,4689,3474,38.43,400,187,41,4,134.97,752.0,1927.0,2010.0,177.36,132.8,125.7,39.4,Eden Gardens,61.0,190.62,73.54,3.0,Explosive Hitter
KM Jadhav,81,1208,969,14.91,102,40,4,0,124.66,565.0,576.0,67.0,140.9,118.03,83.75,10.7,"Rajiv Gandhi International Stadium, Uppal",59.0,173.53,31.59,4.0,Utility Batter
KP Pietersen,36,1001,742,27.81,91,40,5,1,134.91,123.0,486.0,392.0,178.26,127.89,133.79,30.5,Sawai Mansingh Stadium,98.0,155.56,48.93,2.0,Anchor / Run Machine
KS Williamson,76,2132,1692,28.05,187,64,18,0,126.0,460.0,1189.0,483.0,167.27,126.89,100.63,13.6,M.Chinnaswamy Stadium,151.0,179.76,46.08,1.0,Finisher / Death Specialist
KV Sharma,39,351,294,9.0,20,17,0,0,119.39,247.0,97.0,7.0,137.22,92.38,77.78,7.2,Wankhede Stadium,45.0,125.0,22.38,0.0,Powerplay Dominator
Kuldeep Yadav,32,183,216,5.72,16,3,0,0,84.72,163.0,20.0,0.0,90.56,55.56,0.0,6.1,Eden Gardens,27.0,64.29,12.44,0.0,Powerplay Dominator
LMP Simmons,29,1079,848,37.21,109,44,12,1,127.24,56.0,481.0,542.0,155.56,135.11,118.86,27.8,Brabourne Stadium,67.0,152.27,54.37,2.0,Anchor / Run Machine
LR Shukla,33,405,350,12.27,33,16,0,0,115.71,219.0,184.0,2.0,133.54,101.66,40.0,7.5,Eden Gardens,153.0,135.4,24.35,0.0,Powerplay Dominator
LRPL Taylor,54,1017,818,18.83,66,46,3,0,124.33,312.0,550.0,155.0,159.18,109.78,128.1,14.6,SuperSport Park,82.0,221.62,35.2,4.0,Utility Batter
LS Livingstone,39,939,571,24.08,66,66,6,0,164.45,284.0,492.0,163.0,221.88,146.87,150.93,21.8,"Dr DY Patil Sports Academy, Mumbai",112.0,193.1,49.18,2.0,Anchor / Run Machine
Lalit Yadav,21,305,285,14.52,27,7,0,0,107.02,94.0,186.0,25.0,122.08,105.08,80.65,10.3,"Brabourne Stadium, Mumbai",49.0,116.67,24.88,0.0,Powerplay Dominator
M Kaif,22,259,249,11.77,22,6,0,0,104.02,54.0,183.0,22.0,120.0,109.58,59.46,10.7,Eden Gardens,34.0,109.68,22.25,0.0,Powerplay Dominator
M Manhas,38,514,470,13.53,43,10,0,0,109.36,244.0,224.0,46.0,131.89,96.55,86.79,10.2,Subrata Roy Sahara Stadium,75.0,131.58,25.11,0.0,Powerplay Dominator
M Morkel,20,126,89,6.3,11,5,0,0,141.57,116.0,10.0,0.0,145.0,111.11,0.0,6.6,0,0.0,0.0,23.63,4.0,Utility Batter
M Shahrukh Khan,37,553,391,14.95,35,37,1,0,141.43,303.0,227.0,23.0,162.03,121.39,135.29,17.6,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",46.0,153.33,35.03,4.0,Utility Batter
M Vijay,105,2619,2148,24.94,247,91,15,2,121.93,125.0,920.0,1574.0,176.06,131.05,114.47,24.3,"MA Chidambaram Stadium, Chepauk",864.0,137.14,47.95,1.0,Finisher / Death Specialist
M Vohra,51,1083,828,21.24,104,43,3,0,130.8,62.0,330.0,691.0,229.63,126.44,127.96,12.6,"Rajiv Gandhi International Stadium, Uppal",187.0,171.56,37.73,4.0,Utility Batter
MA Agarwal,121,2669,1990,22.06,265,98,14,1,134.12,247.0,1033.0,1389.0,211.11,138.66,123.14,26.9,Sharjah Cricket Stadium,219.0,165.91,48.93,1.0,Finisher / Death Specialist
MC Henriques,54,1000,785,18.52,87,28,5,0,127.39,335.0,504.0,161.0,165.84,113.51,115.83,17.0,Shaheed Veer Narayan Singh International Stadium,92.0,155.93,36.12,4.0,Utility Batter
MEK Hussey,58,1977,1610,34.09,198,52,16,1,122.8,261.0,888.0,828.0,191.91,125.42,108.09,26.6,"Punjab Cricket Association Stadium, Mohali",209.0,167.2,53.44,2.0,Anchor / Run Machine
MG Johnson,28,167,163,5.96,10,7,0,0,102.45,157.0,10.0,0.0,109.79,50.0,0.0,5.5,Wankhede Stadium,32.0,106.67,15.79,0.0,Powerplay Dominator
MJ McClenaghan,20,85,69,4.25,5,7,0,0,123.19,56.0,29.0,0.0,114.29,152.63,0.0,3.6,Wankhede Stadium,49.0,140.0,17.63,0.0,Powerplay Dominator
MK Lomror,35,527,372,15.06,33,30,1,0,141.67,230.0,266.0,31.0,161.97,138.54,81.58,12.5,"M Chinnaswamy Stadium, Bengaluru",151.0,167.78,33.43,4.0,Utility Batter
MK Pandey,158,3859,3174,24.42,335,111,23,1,121.58,673.0,2053.0,1133.0,150.22,118.26,114.44,20.2,"Zayed Cricket Stadium, Abu Dhabi",69.0,172.5,49.99,1.0,Finisher / Death Specialist
MK Tiwary,83,1695,1444,20.42,156,40,7,0,117.38,597.0,874.0,224.0,145.97,108.44,97.82,18.9,Feroz Shah Kotla,227.0,127.53,38.27,4.0,Utility Batter
