batter,innings,total_runs,total_balls,avg_runs,fours,sixes,fifties,hundreds,strike_rate,runs_Death,runs_Middle,runs_Powerplay,strike_rate_Death,strike_rate_Middle,strike_rate_Powerplay,form_avg_last10,best_venue,best_venue_runs,best_venue_sr,pvs_batting,cluster,archetype
Sandeep Sharma,25,54,69,2.16,4,0,0,0,78.26,42.0,12.0,0.0,77.78,80.0,0.0,2.3,0,0.0,0.0,7.03,0.0,Powerplay Dominator
Shahbaz Ahmed,37,536,438,14.49,28,25,1,0,122.37,257.0,258.0,21.0,146.86,108.86,80.77,17.7,"Wankhede Stadium, Mumbai",87.0,147.46,30.92,4.0,Utility Batter
Shakib Al Hasan,52,795,635,15.29,73,21,2,0,125.2,329.0,429.0,37.0,141.81,117.21,100.0,11.9,Wankhede Stadium,105.0,138.16,30.92,4.0,Utility Batter
Shubman Gill,99,3216,2360,32.48,310,95,24,4,136.27,371.0,1413.0,1432.0,152.05,140.04,129.36,38.7,"M Chinnaswamy Stadium, Bengaluru",106.0,182.76,63.09,3.0,Explosive Hitter
TA Boult,22,83,78,3.77,5,3,0,0,106.41,76.0,7.0,0.0,107.04,100.0,0.0,5.8,0,0.0,0.0,14.73,0.0,Powerplay Dominator
TH David,35,659,385,18.83,38,46,0,0,171.17,540.0,119.0,0.0,192.86,113.33,0.0,23.0,"Wankhede Stadium, Mumbai",325.0,190.06,45.53,2.0,Anchor / Run Machine
TL Suman,39,676,573,17.33,55,26,2,0,117.98,144.0,347.0,185.0,135.85,121.33,102.21,7.8,De Beers Diamond Oval,56.0,155.56,29.59,4.0,Utility Batter
TM Dilshan,50,1153,1001,23.06,140,24,9,0,115.18,199.0,466.0,488.0,174.56,104.02,111.16,20.9,Kingsmead,129.0,163.29,38.99,4.0,Utility Batter
TM Head,25,772,441,30.88,76,40,6,1,175.06,100.0,260.0,412.0,181.82,146.07,198.08,33.2,"Arun Jaitley Stadium, Delhi",89.0,278.12,59.11,2.0,Anchor / Run Machine
Tilak Varma,38,1156,787,30.42,90,58,6,0,146.89,297.0,750.0,109.0,182.21,139.93,123.86,29.5,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",101.0,202.0,53.41,2.0,Anchor / Run Machine
UBT Chand,20,300,299,15.0,32,9,1,0,100.33,30.0,150.0,120.0,166.67,107.91,84.51,16.8,M Chinnaswamy Stadium,58.0,156.76,26.05,0.0,Powerplay Dominator
UT Yadav,48,208,201,4.33,16,9,0,0,103.48,205.0,3.0,0.0,109.04,23.08,0.0,4.6,0,0.0,0.0,14.62,0.0,Powerplay Dominator
V Kohli,244,8014,6051,32.84,708,273,64,8,132.44,1469.0,3736.0,2809.0,188.58,124.62,123.53,42.5,"Himachal Pradesh Cricket Association Stadium, Dharamsala",92.0,195.74,81.32,3.0,Explosive Hitter
