batter,innings,total_runs,total_balls,avg_runs,fours,sixes,fifties,hundreds,strike_rate
M Vijay,105,2619,2148,24.94,247,91,15,2,121.93
M Vohra,51,1083,828,21.24,104,43,3,0,130.8
MA Agarwal,121,2669,1990,22.06,265,98,14,1,134.12
MC Henriques,54,1000,785,18.52,87,28,5,0,127.39
MEK Hussey,58,1977,1610,34.09,198,52,16,1,122.8
MG Johnson,28,167,163,5.96,10,7,0,0,102.45
MJ McClenaghan,20,85,69,4.25,5,7,0,0,123.19
MK Lomror,35,527,372,15.06,33,30,1,0,141.67
MK Pandey,158,3859,3174,24.42,335,111,23,1,121.58
MK Tiwary,83,1695,1444,20.42,156,40,7,0,117.38
ML Hayden,32,1107,799,34.59,121,44,8,0,138.55
MM Ali,57,1162,818,20.39,95,67,6,0,142.05
MM Sharma,28,124,133,4.43,9,4,0,0,93.23
MP Stoinis,88,1866,1308,21.2,150,91,10,1,142.66
MR Marsh,36,665,521,18.47,48,38,3,0,127.64
MS Bisla,39,798,700,20.46,93,23,4,0,114.0
MS Dhoni,228,5243,3790,23.0,363,252,24,0,138.34
MV Boucher,23,394,307,17.13,32,13,1,0,128.34
Mandeep Singh,97,1706,1385,17.59,176,38,6,0,123.18
Mohammed Shami,23,74,79,3.22,6,2,0,0,93.67
Mohammed Siraj,20,109,117,5.45,10,4,0,0,93.16
N Pooran,72,1769,1090,24.57,113,127,9,0,162.29
N Rana,101,2636,1946,26.1,234,132,18,0,135.46
NLTC Perera,30,424,306,14.13,23,26,0,0,138.56
NV Ojha,94,1554,1308,16.53,121,79,6,0,118.81
OA Shah,22,506,388,23.0,34,23,4,0,130.41
P Kumar,57,340,312,5.96,22,17,0,0,108.97
P Negi,35,365,288,10.43,27,16,0,0,126.74
P Simran Singh,34,756,516,22.24,78,41,4,1,146.51
PA Patel,136,2848,2350,20.94,365,49,13,0,121.19
PC Valthaty,23,505,414,21.96,61,20,3,1,121.98
PD Salt,21,653,368,31.1,74,34,6,0,177.45
PJ Cummins,39,515,342,13.21,33,34,3,0,150.58
PP Chawla,86,624,561,7.26,56,20,0,0,111.23
PP Shaw,79,1892,1280,23.95,238,61,14,0,147.81
Q de Kock,107,3160,2349,29.53,316,123,25,2,134.53
R Ashwin,89,800,674,8.99,61,28,1,0,118.69
R Bhatia,47,342,284,7.28,24,13,0,0,120.42
R Dhawan,22,210,187,9.55,18,7,0,0,112.3
R Dravid,82,2174,1878,26.51,269,28,11,0,115.76
R Parag,58,1173,865,20.22,84,60,6,0,135.61
R Powell,22,360,244,16.36,21,28,1,0,147.54
R Sathish,24,270,230,11.25,22,6,0,0,117.39
R Tewatia,65,1013,748,15.58,84,47,1,0,135.43
R Vinay Kumar,42,310,274,7.38,21,9,0,0,113.14
RA Jadeja,180,2959,2267,16.44,215,107,3,0,130.52
RA Tripathi,93,2236,1598,24.04,223,84,12,0,139.92
RD Chahar,22,129,124,5.86,13,5,0,0,104.03
RD Gaikwad,65,2380,1730,36.62,217,91,20,2,137.57
RG Sharma,251,6630,5039,26.41,599,281,45,2,131.57
RJ Harris,21,117,111,5.57,6,3,0,0,105.41
RK Singh,40,893,617,22.32,67,46,4,0,144.73
RM Patidar,24,799,502,33.29,51,54,8,1,159.16
RN ten Doeschate,21,326,235,15.52,26,15,1,0,138.72
RP Singh,28,52,76,1.86,2,1,0,0,68.42
RR Pant,110,3297,2206,29.97,298,154,19,1,149.46
RR Rossouw,22,473,306,21.5,45,25,2,0,154.58
RS Bopara,22,531,453,24.14,39,16,3,0,117.22
RV Uthappa,197,4954,3784,25.15,481,182,27,0,130.92
Rashid Khan,58,545,331,9.4,39,38,1,0,164.65
